Iteration,ManagementArea,ActivatedDOValues,ActivatedDO,MatchedDO,MostImportantGoal,TotalNumberOfDO
12,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
13,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
14,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
15,1,,,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G2,4
16,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
17,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
18,1,73.3908;80.5427,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
19,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
20,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
3,1,31.951;25.6184,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
4,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
5,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
6,1,65.2325;73.7045,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
7,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
8,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
9,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
10,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
11,1,51.3263;86.3512,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
12,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
13,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G2,8
14,1,65.2325;73.7045,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
15,1,31.951;25.6184,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
16,1,65.2325;73.7045,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
17,1,65.2325;73.7045,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
18,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
19,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G2,8
20,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
1,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G1,2
2,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM2-1_DO1,G2,2
3,1,62.8602;44.4849,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM2-1_DO1;MM2-1_DO2,G1,4
4,1,62.8602;44.4849,MM1-1_DO2;MM2-1_DO2,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
5,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
6,1,20;10,MM1-1_DO1;MM2-1_DO1,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
7,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G2,6
8,1,54.2008;33.6859,MM1-1_DO3;MM2-1_DO3,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3,G1,6
9,1,63.2738;58.6566,MM1-1_DO4;MM2-1_DO4,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4,G1,8
10,1,83.9256;67.6127,MM1-1_DO5;MM2-1_DO5,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5,G1,10
11,1,83.9256;67.6127,MM1-1_DO5;MM2-1_DO5,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM1-1_DO6;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5;MM2-1_DO6,G2,12
12,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM1-1_DO6;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5;MM2-1_DO6,G2,12
13,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM1-1_DO6;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5;MM2-1_DO6,G2,12
14,1,,,MM1-1_DO1;MM1-1_DO2;MM1-1_DO3;MM1-1_DO4;MM1-1_DO5;MM1-1_DO6;MM2-1_DO1;MM2-1_DO2;MM2-1_DO3;MM2-1_DO4;MM2-1_DO5;MM2-1_DO6,G2,12
